Sample_Name,grain,Spot number,FWHM,raman_shift
ME10,z17,2,6.9,1004.1
ME10,z17,3,8,1004.5
ME10,z17,4,10.2,1003.7
ME10,z17,5,7.2,1004.5
ME10,z17,6,7.4,1004.9
ME10,z17,7,7.2,1004.7
ME10,z17,8,7.3,1005.2
ME10,z17,9,6.1,1005.3
ME10,z17,10,7.6,1004.2
ME10,z21,1,7.5,1003.8
ME10,z21,2,7.5,1004
ME10,z21,3,9,1002.6
ME10,z21,4,16.5,1001.2
ME10,z21,5,10.2,1002.2
ME10,z21,6,6.3,1004.3
ME10,z21,7,6.3,1005
ME10,z21,8,6.5,1005
ME10,z22,1,8,1003.7
ME10,z22,2,5.5,1004.5
ME10,z22,3,6,1004.9
ME10,z22,4,6.3,1004
ME10,z22,5,5.8,1005.1
ME10,z22,6,6.5,1005.4
ME10,z22,7,7.1,1005.6
ME10,z22,8,6.3,1004.9
ME10,z22,9,7.1,1004.2
ME10,z22,10,7.4,1003.9
ME10,Z28,1,9.4,1002.8
ME10,Z28,2,8,1003.7
ME10,Z28,3,8.9,1002.9
ME10,Z28,4,9.1,1003.6
ME10,Z28,5,7.4,1003.7
ME10,Z28,6,7.4,1004.1
ME10,Z28,7,7.4,1004.2
ME10,Z28,8,7.8,1004.2
ME10,Z28,9,10.1,1003.9
ME10,z30,1,8.4,1004.1
ME10,z30,2,6.2,1005
ME10,z30,3,5.6,1005.6
ME10,z30,4,7.1,1004.6
ME10,z30,5,9.4,1002.8
ME10,z30,6,10.4,1002.2
ME10,z30,7,10.2,1002.7
ME10,z30,8,7.8,1004.3
ME10,z30,9,6.2,1005.2
ME10,z30,10,6.6,1005.1
ME10,Z32,1,6.5,1005
ME10,Z32,2,7.3,1003.9
ME10,Z32,4,8.3,1003.6
ME10,Z32,5,6.4,1004.1
ME10,Z32,6,13.3,1001.7
ME10,Z32,7,12.5,1000.9
ME10,Z32,8,12.7,1001.8
ME10,Z32,9,9.6,1003.4
ME10,Z32,10,5.8,1005.9
ME10,Z32,11,7.9,1003.8
ME10,Z32,12,7.1,1003.9
ME10,Z05,2,7.3,1004.5
ME10,Z05,3,6.9,1004.9
ME10,Z05,4,7.8,1004.8
ME10,Z05,5,6.5,1005
ME10,Z05,6,8.6,1004.5
ME10,Z05,7,7,1005
ME10,Z05,8,6.7,1004.9
ME10,Z05,9,9.1,1004.5
ME10,Z05,10,7,1004.8
ME10,Z05,11,7.2,1004.7
ME10,Z06,1,7.4,1004.4
ME10,Z06,2,7.7,1005
ME10,Z06,3,6.4,1004.9
ME10,Z06,4,6.3,1005.6
ME10,Z06,5,5.7,1005.4
ME10,Z06,6,6.6,1005
ME10,Z06,7,8.3,1004
ME10,Z06,8,7.7,1003.7
ME10,Z07,1,8.9,1003.6
ME10,Z07,2,7.8,1004.3
ME10,Z07,3,7,1004.6
ME10,Z07,4,8.3,1004.1
ME10,Z07,5,8.2,1003.8
ME10,Z07,6,6.3,1004.4
ME10,Z07,7,9.8,1003.4
ME10,Z07,8,10.1,1003.3
ME10,Z09,1,7.3,1004.5
ME10,Z09,2,6.4,1005
ME10,Z09,3,6,1004.9
ME10,Z09,4,6.2,1004.3
ME10,Z09,5,6,1004.5
ME10,Z09,6,6,1004.8
ME10,Z09,7,5.9,1005.3
ME10,Z09,8,6.4,1005.3
ME10,Z09,9,6.7,1004.6
ME10,Z09,10,6.7,1004.1
ME10,Z10,1,8.4,1004
ME10,Z10,2,7.8,1003.9
ME10,Z10,3,7.1,1005
ME10,Z10,4,6.5,1005.7
ME10,Z10,5,11.2,1002.8
ME10,Z10,6,8.2,1004.5
ME10,Z10,7,8.2,1004.1
ME10,Z10,8,8.8,1003.6
ME10,Z10,9,8.1,1004
ME10,Z10,10,10,1004
ME10,Z16,1,7.7,1004.1
ME10,Z16,2,6.9,1004.5
ME10,Z16,3,6.1,1004.9
ME10,Z16,4,4.9,1005.6
ME10,Z16,5,5.9,1005.3
ME10,Z16,6,6.2,1005.2
ME10,Z16,7,6.5,1005.2
ME10,Z16,8,5.9,1005.4
ME10,Z16,9,6.2,1005.2
ME10,Z16,10,8.6,1004.1
ME10,Z01,1,7.2,1004.2
ME10,Z01,2,10.1,1003.2
ME10,Z01,3,10.8,1002.5
ME10,Z01,4,11.6,1001.8
ME10,Z01,5,7.7,1003.2
ME10,Z01,6,12.1,1002.2
ME10,Z01,7,11.5,1002
ME10,Z01,8,10.9,1003.1
ME10,Z01,9,13.3,1001.8
ME10,Z01,10,6.7,1004.2
ME10,z23,1,8.2,1003.9
ME10,z23,2,10.5,1003.2
ME10,z23,3,7.8,1004
ME10,z23,4,8.4,1004.8
ME10,z23,5,12,1003.5
ME10,z23,6,16,1003.1
ME10,z23,7,8.4,1003.5
ME10,z23,8,9.4,1003
ME10,z23,9,10.1,1002.9
ME10,z23,10,12.4,1002.8
ME10,z23,11,7.5,1004.7
ME10,Z24,1,8.3,1004.2
ME10,Z24,2,8.3,1004.1
ME10,Z24,3,8.7,1004.1
ME10,Z24,4,7.9,1004.2
ME10,Z24,5,10,1003.2
ME10,Z24,6,10.2,1002.8
ME10,Z24,7,11.8,1003.2
ME10,Z24,8,7.4,1004.2
ME10,Z24,9,7.5,1004.1
ME10,Z24,10,8.3,1003.9
ME10,Z26,1,9.1,1003
ME10,Z26,2,10.2,1003.1
ME10,Z26,3,7.3,1004.2
ME10,Z26,4,8.1,1003.8
ME10,Z26,5,7,1005
ME10,Z26,6,7,1004.7
ME10,Z26,7,7.9,1004.2
ME10,Z26,8,9.5,1003.2
ME10,Z02,1,7.4,1004
ME10,Z02,2,7.7,1004.1
ME10,Z02,3,5.8,1005.1
ME10,Z02,4,5.3,1005.4
ME10,Z02,5,5,1005.7
ME10,Z02,6,4.9,1005.5
ME10,Z02,7,7.2,1005.6
ME10,Z02,9,6.7,1004.5
ME10,Z02,10,5.7,1005
ME10,Z03,1,7.3,1004.1
ME10,Z03,2,8.4,1003.9
ME10,Z03,3,8.2,1003.9
ME10,Z03,4,7.5,1003.8
ME10,Z03,5,8.3,1004
ME10,Z03,6,8.3,1003.8
ME10,Z03,7,8.8,1003.8
ME10,Z03,8,5.9,1004.9
ME10,Z03,9,6.9,1004.4
ME10,Z03,10,7.4,1004.4
ME10,Z04,1,8.1,1004.6
ME10,Z04,2,11.4,1002.2
ME10,Z04,3,8.5,1004
ME10,Z04,4,8,1004.2
ME10,Z04,5,7.8,1002.8
ME10,Z04,6,9.7,1003.5
ME10,Z04,7,9.1,1003.2
ME10,Z04,8,8.8,1003.3
ME10,Z04,9,7.6,1003.9
ME10,Z04,10,7.2,1004
ME10,Z04,11,6.4,1004.9
ME10,z08,2,18.1,1001.2
ME10,z08,3,7.9,1003.8
ME10,z08,4,6.7,1004.5
ME10,z08,5,7,1004.5
ME10,z08,6,8,1004
ME10,z08,7,6.9,1004.3
ME10,z11,1,6.9,1004.4
ME10,z11,2,6.4,1005
ME10,z11,3,7.1,1004.8
ME10,z11,4,8.2,1004.5
ME10,z11,5,7.3,1004.5
ME10,z11,6,8,1004.5
ME10,z11,7,7.2,1004.9
ME10,z11,8,6.8,1004.6
ME10,z12,1,10.7,1002.6
ME10,z12,2,6.3,1005.6
ME10,z12,3,6.2,1005.4
ME10,z12,4,8.6,1003.7
ME10,z12,5,7.7,1004.8
ME10,z12,6,7.4,1004.2
ME10,z12,7,7.8,1004.7
ME10,z13,1,8.5,1003.5
ME10,z13,2,9.8,1002.5
ME10,z13,3,9.5,1002.4
ME10,z13,4,9.7,1002.8
ME10,z13,5,7.5,1003.9
ME10,z14,1,12.3,1002.3
ME10,z14,2,7.5,1004.1
ME10,z14,3,7.7,1004.1
ME10,z14,4,18.2,1000.3
ME10,z14,5,19.9,1000.2
ME10,z14,6,17.7,999.8
ME10,z14,7,20.3,999.1
ME10,z14,8,19.2,1000.5
ME10,z14,9,7.4,1004.1
