Sample_Name,grain,Spot number,FWHM,raman_shift
PP2084,1,1,6.6,1005.6
PP2084,1,2,6.6,1005.8
PP2084,1,3,15.5,1000.8
PP2084,2,3,9.2,1005.2
PP2084,2,4,9.5,1005.5
PP2084,4,3,17.1,1002.3
PP2084,6,1,4.2,1006.8
PP2084,6,2,15.4,1001
PP2084,6,3,4.2,1006.6
PP2084,7,1,13.3,1001.1
PP2084,7,2,6.1,1005.9
PP2084,7,3,7.8,1003.8
PP2084,8,1,4.7,1006.6
PP2084,8,2,4.7,1006.5
PP2084,8,3,8.6,1003.9
PP2084,9,1,10.4,1002.9
PP2084,9,2,5.8,1006
PP2084,9,3,5.6,1005.6
PP2084,10,1,4.3,1006
PP2084,10,3,6.7,1005
PP2084,11,1,9.5,1003.5
PP2084,11,2,5.8,1005.3
PP2084,11,3,6.1,1005.8
PP2084,12,1,6.2,1004.6
PP2084,12,2,8.1,1003.9
PP2084,12,3,5.4,1005.5
PP2084,13,1,17.7,998.6
PP2084,13,2,4.9,1006.6
PP2084,13,3,12.5,1001.5
PP2084,14,1,4.6,1007
PP2084,14,2,8.3,1003.3
PP2084,14,3,6.4,1005.6
PP2084,15,1,9.2,1002.9
PP2084,16,1,9.6,1003.8
PP2084,16,3,12,1002.2
PP2084,17,1,4.3,1006.5
PP2084,17,2,7.1,1005.5
PP2084,17,3,4.8,1006.1
PP2084,19,1,11.6,1002.9
PP2084,19,3,9,1003.5
PP2084,18,1,12.6,1001.5
PP2084,18,2,6,1005.7
PP2084,18,3,7.5,1005.1
PP2084,20,1,12.7,1001.3
PP2084,20,2,24.3,998.9
PP2084,20,3,8.8,1003.5
PP2084,22,1,4.3,1006.9
PP2084,22,2,4.5,1006.7
PP2084,23,2,9.7,1004.5
PP2084,23,3,6.5,1005.7
PP2084,23,1,11.8,1002.2
PP2084,23,2,10.3,1003.3
PP2084,23,3,5.7,1005.8
PP2084,23,4,6.9,1005.6
PP2084,23,5,5.8,1005.6
PP2084,23,6,7.2,1005.3
PP2084,23,7,4.6,1006
